Array X Count, Array Y Count,Start X ,Start Y, ResolutionX , ResolutionY
11,11,-49.250,49.250,9.850,-9.850
0739.833,0132.855	0991.294,0126.947	1246.854,0120.336	1506.152,0112.853	1768.740,0104.552	2034.057,0095.381	2302.180,0085.317	2573.175,0074.393	2846.771,0062.554	3122.825,0049.810	3401.432,0036.364	
0731.703,0406.211	0984.995,0401.400	1242.528,0396.039	1503.858,0389.905	1768.167,0383.152	2035.499,0375.635	2305.731,0367.452	2578.766,0358.532	2854.346,0348.895	3132.725,0338.542	3413.594,0327.544	
0725.568,0680.034	0980.317,0676.377	1239.364,0672.230	1502.026,0667.543	1767.944,0662.289	2036.809,0656.589	2308.472,0650.311	2583.113,0643.466	2860.269,0636.055	3140.453,0628.177	3423.188,0619.619	
0721.479,0954.100	0977.271,0951.522	1237.404,0948.664	1501.078,0945.416	1768.070,0941.793	2038.004,0937.818	2310.750,0933.486	2586.392,0928.695	2865.024,0923.575	3146.176,0918.176	3430.195,0912.275	
0719.202,1228.365	0975.553,1226.854	1236.292,1225.321	1500.771,1223.475	1768.446,1221.473	2039.051,1219.292	2312.421,1216.874	2588.891,1214.367	2868.092,1211.578	3150.000,1208.511	3434.742,1205.361	
0718.874,1502.481	0975.522,1502.162	1236.386,1501.842	1500.928,1501.489	1769.001,1501.080	2039.907,1500.576	2313.639,1500.209	2590.294,1499.754	2869.628,1499.252	3151.725,1498.895	3436.719,1498.357	
0720.503,1776.588	0976.789,1777.408	1237.439,1778.356	1501.850,1779.388	1769.878,1780.525	2040.702,1781.890	2314.171,1783.469	2590.586,1785.191	2869.549,1787.043	3151.436,1789.159	3436.143,1791.315	
0724.111,2050.326	0979.797,2052.291	1239.755,2054.447	1503.651,2056.906	1771.080,2059.678	2041.278,2062.699	2314.224,2066.292	2589.906,2070.153	2868.106,2074.382	3149.182,2078.850	3433.040,2083.648	
0729.906,2323.473	0984.367,2326.517	1243.276,2330.040	1506.224,2333.848	1772.673,2338.170	2041.914,2343.055	2313.727,2348.429	2588.136,2354.387	2865.198,2360.796	3144.959,2367.930	3427.643,2375.395	
0737.966,2596.094	0990.854,2600.225	1248.239,2604.961	1509.753,2610.165	1774.607,2616.121	2042.410,2622.612	2312.640,2629.943	2585.517,2637.972	2860.820,2646.586	3138.893,2655.945	3419.765,2665.970	
0748.152,2867.836	0999.187,2873.160	1254.665,2879.125	1514.049,2885.674	1777.027,2893.036	2042.887,2901.321	2310.995,2910.378	2581.794,2920.509	2854.891,2931.369	3130.698,2943.143	3409.315,2955.496	
